Number words female,Total words,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Number words male,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
4196,30524,6284,1240,8,1999,5,20044,52,39.85714286,31.6,41,34,Female
2371,4484,611,374,8,2001,7,1502,1,32.14285714,31.33333333,61,49,Female
5962,13814,3334,1630,6,2009,6,4518,48,41.5,51.5,36,66,Male
832,3558,1051,334,4,2011,2,1675,38,48.5,31,55,26,Male
1364,4056,1460,206,5,2011,2,1232,11,53.8,27.5,47,25,Male
7826,13630,3308,2766,9,1999,16,2496,18,39.85714286,37.14285714,17,29,Female
1716,7020,1504,600,10,1989,4,3800,8,51.11111111,39,55,43,Male
1464,17728,8002,6946,5,1994,2,8262,264,45.2,39,32,31,Male
685,4718,1528,1160,5,2007,2,2505,21,52.6,40.5,49,22,Male
2671,11290,7618,6971,3,2010,5,1001,64,31.33333333,26.6,22,25,Female
6592,23878,11194,9040,14,1999,10,6092,38,39.4,36.57142857,30,41,Male
718,10330,2240,162,7,2002,3,7372,25,34.5,49,35,31,Female
9754,24124,9158,2178,4,1999,6,5212,25,36.33333333,26,37,23,Male
4584,18784,4518,1106,10,1996,3,9682,154,42.375,31,34,32,Male
3302,13919,4116,956,10,2002,8,6501,58,45.28571429,26.5,33,43,Female
7164,16102,8938,1774,1,1999,1,0,150,69,30,69,30,Male
972,10794,1837,377,12,1989,4,7985,4,45.18181818,39.33333333,28,47,Female
500,5474,1668,1414,6,1981,2,3306,78,49.5,36,56,36,Male
3540,22846,8354,1872,6,2004,7,10952,47,39.5,25.5,29,42,Female
12108,22694,4356,792,11,1993,11,6230,3,43.28571429,38.66666667,53,21,Male
3944,11760,3930,1450,5,1997,2,3886,50,34,37.5,50,32,Male
2162,13956,5903,4833,9,2009,3,5891,12,43.22222222,40.66666667,40,36,Male
2807,13356,6705,4431,5,1989,3,3844,36,41.8,24.66666667,48,31,Male
8112,29106,14214,8512,13,2000,6,6780,122,45.27272727,32.4,36,34,Male
3284,17372,4372,1326,9,2005,3,9716,210,37.33333333,29,32,24,Male
864,12073,7005,6141,9,2009,1,4204,24,50.42857143,60,48,60,Male
286,16260,4200,130,12,1996,3,11774,48,43.71428571,40,39,46,Female
7694,19636,8940,6108,9,1993,4,3002,16,42,35,44,34,Male
1992,18274,7848,2042,7,2014,4,8434,133,39.33333333,34,23,20,Female
1080,24064,14490,13692,8,1998,3,8494,19,39.8,43.66666667,35,69,Male
901,14621,7633,7019,11,1989,2,6087,141,41.57142857,43,34,7,Male
1645,11906,5566,3921,6,2010,1,4695,103,50.2,36,36,36,Male
1147,6294,2306,1085,8,2003,6,2841,67,30,29.8,25,31,Female
4704,18826,6660,3120,13,2003,5,7462,549,43.23076923,43.75,56,45,Male
2935,12111,4993,3758,10,2012,4,4183,102,44.2,46.66666667,58,35,Male
9230,25338,7426,5386,7,1995,10,8682,8,34.57142857,27.7,34,35,Male
3612,24168,13874,11274,5,2007,4,6682,49,49.4,39.66666667,27,28,Male
3724,26730,12254,8860,17,1982,4,10752,14,46,50,33,39,Female
1224,7446,1777,399,8,2003,4,4445,118,37.14285714,32.5,24,23,Female
1154,13192,5308,4402,8,2000,3,6730,72,30.875,42.33333333,32,30,Male
2016,19924,8974,8008,9,1996,3,8934,20,47.25,29,35,23,Male
3532,13352,6352,4328,6,2008,4,3468,3,35.5,37,48,18,Female
2955,6904,2686,1557,7,2013,6,1263,17,32.5,33.33333333,26,43,Male
1350,13762,3476,3068,21,1993,4,8936,386,46.46666667,36.5,47,33,Male
102,13486,4862,4760,16,1987,1,8522,103,38.33333333,26,43,26,Male
7596,43768,15708,10928,9,2009,6,20464,60,35.5,27.25,43,37,Male
3588,22974,9264,7434,15,1997,3,10122,10,41.44444444,37,43,33,Male
4784,17523,7128,3880,10,2004,6,5611,37,34.44444444,39,29,23,Male
1142,4738,2462,2072,5,2000,3,1134,24,45.66666667,29,54,42,Male
1787,13375,3871,2303,7,2009,2,7717,10,56.66666667,60,78,60,Male
3092,21584,10098,7906,10,1995,5,8394,144,48.4,44,41,41,Male
203,4267,2341,2138,7,1972,1,1723,138,50.8,25,42,25,Male
8604,16158,5490,792,6,1990,2,2064,448,48,31.5,38,35,Male
390,9648,3284,2894,6,1996,1,5974,75,45.66666667,25,37,25,Male
2928,12632,7344,4526,2,2002,2,2360,45,45.5,25,52,36,Male
6416,27560,12276,6022,9,2001,7,8868,9,37.55555556,28.57142857,19,44,Female
1252,19958,6164,5702,13,1989,4,12542,245,42.83333333,38.66666667,39,37,Male
2778,18132,4508,1730,10,2000,1,10846,303,47.77777778,35,26,35,Male
1566,13756,2594,534,11,1999,4,9596,28,28.25,25.25,20,29,Female
2756,22344,11972,9898,7,1998,3,7616,11,46,53.5,59,55,Male
3352,22164,7408,4056,6,1997,1,11404,261,43.8,27,46,27,Male
0,3270,2580,1890,1,2013,1,690,293,63,49,49,63,Female
8032,16948,4500,300,9,1990,2,4416,27,48.44444444,35.5,24,39,Male
1598,5918,1934,850,4,2004,4,2386,154,43.33333333,28.75,27,31,Female
2180,12286,2328,622,11,1995,2,7778,15,27.75,30.5,32,20,Male
5987,21835,6581,4646,9,2011,8,9267,49,44.11111111,43.2,43,37,Male
2313,10274,3409,1297,8,2011,4,4552,44,50.4,27.25,17,43,Female
12596,31430,8904,2636,13,1986,4,9930,94,49.7,37,51,38,Male
3472,16058,2740,1044,18,2005,5,9846,393,39.27777778,38.2,16,15,Male
5146,13486,5326,3300,4,1999,5,3014,156,46.5,40.2,32,31,Female
6148,11216,4912,4756,1,1994,7,156,6,22,30.33333333,17,22,Female
2964,7244,2074,576,4,1987,2,2206,32,34.66666667,26.5,45,21,Male
12226,18481,4304,3203,4,2011,12,1951,186,38.33333333,42.66666667,23,27,Female
10146,41260,24376,17822,7,2000,7,6738,44,30.5,31.5,34,29,Male
342,4728,2143,1960,9,1986,2,2243,13,39.375,34,29,24,Male
3058,7948,2348,1071,4,2006,4,2542,55,35,31.5,30,30,Male
2768,21736,4730,3476,13,2005,5,14238,69,42.61538462,32,34,25,Male
6032,15498,5292,700,4,2000,3,4174,118,41.75,33.33333333,42,37,Male
1125,9442,3463,2607,6,2011,3,4854,129,48.5,38,36,42,Male
7220,19300,6672,3200,8,1998,5,5408,139,56.4,41.6,62,14,Male
325,15173,7990,7665,6,2010,1,6858,239,32.33333333,37,28,37,Male
1250,7888,3484,2444,8,2014,2,3154,188,37,43,32,45,Male
1903,10597,3985,2832,10,1991,3,4709,35,48,33.33333333,36,33,Male
2474,12188,6422,3130,1,2001,3,3292,1,34,40.33333333,33,34,Female
2677,12914,4422,2163,6,2011,2,5815,60,29.33333333,25,21,25,Male
3352,15268,6436,4210,8,2001,6,5480,61,41,35.33333333,43,46,Female
881,9135,5782,5150,4,2009,3,2472,2,42.5,42,47,37,Male
472,7650,2422,528,7,1998,2,4756,74,40.57142857,22,19,24,Female
11408,26450,8582,4918,6,1994,8,6460,21,43.25,29.33333333,53,44,Male
4254,15000,3472,1356,10,1997,7,7274,14,30.11111111,33.83333333,41,22,Female
2724,14610,4154,1798,8,2009,3,7732,8,44.85714286,21,80,21,Male
4682,12229,4215,1622,6,2001,4,3332,55,50,46.33333333,53,52,Male
7050,28758,5538,2544,11,2009,5,16170,2,42.8,42.8,51,61,Male
908,13314,6580,5672,8,2010,1,5826,323,44.75,35,36,35,Male
1192,7466,3150,2140,8,1987,2,3124,57,43.375,33.5,33,26,Male
1614,22802,9068,8256,13,1999,3,12120,49,52.4,45,59,47,Male
4351,7989,2362,73,4,2010,4,1276,59,33.66666667,46.25,37,31,Male
3410,14388,5360,3248,9,2002,4,5618,100,42.25,28.66666667,62,28,Male
3610,21372,10540,7452,4,1994,5,7222,218,34,24.2,31,12,Male
6432,18636,6386,1924,8,2007,7,5818,23,46.2,28.4,22,23,Male
7876,20010,6854,3170,5,1997,4,5280,11,33.2,34.5,23,20,Male
290,6824,2594,2411,12,2009,2,3940,43,50.66666667,33.5,72,28,Male
888,6753,4007,2716,5,2011,4,1858,32,57.6,47.5,62,62,Female
1226,9488,4539,1866,5,2009,6,3723,131,37.6,42.6,60,51,Female
3013,10203,4634,3013,4,2005,2,2556,8,46,31.5,32,20,Male
13054,39038,11788,1472,8,1997,4,14196,75,46.375,35.75,49,48,Male
3718,16338,4924,190,5,2011,8,7696,12,40.4,35.14285714,22,34,Female
835,7068,2555,1985,7,1975,3,3678,1103,41.33333333,51.33333333,48,38,Male
1641,7461,2507,1940,12,1978,6,3313,382,32.54545455,32,46,41,Male
4838,23822,9970,8122,20,2001,6,9014,46,31.5,30.4,27,21,Male
2564,21380,10636,8948,10,1992,2,8180,23,38.5,32,36,22,Male
6570,19312,10216,5844,8,1996,5,2526,303,28.75,26.5,34,27,Male
6772,57524,28102,25822,27,1991,7,22650,145,47.26086957,35,36,42,Male
3262,11246,2755,1322,10,1995,5,5229,69,45.77777778,42.25,49,30,Male
5682,22448,11628,8540,4,2007,8,5138,180,32.66666667,28.66666667,20,38,Female
1941,11329,2550,1116,11,1993,2,6838,844,41.63636364,20,46,26,Male
1597,6384,2608,1225,3,1993,3,2179,5,34,28,30,28,Male
3916,9836,4010,2540,5,1995,8,1910,14,20.66666667,18.66666667,17,16,Male
1441,15187,5040,4255,10,2010,2,8706,153,58,42.5,50,44,Male
3360,18967,8665,6045,12,2007,5,6942,188,30.83333333,25,25,35,Male
1058,11016,4456,3640,7,2008,2,5502,260,47.28571429,36.5,39,33,Male
898,13956,4126,982,4,1999,3,8932,54,43,45.66666667,35,39,Female
486,3747,1396,910,4,2005,1,1865,27,48.66666667,30,36,30,Male
3233,12967,3056,15,11,2011,9,6678,39,48,43,44,55,Female
4380,11012,5202,2242,7,2008,6,1430,18,46.8,46.16666667,71,49,Male
240,15468,6216,5976,7,2003,1,9012,160,46,27,41,27,Male
2666,18930,4478,518,7,2009,3,11786,7,49,43,64,80,Female
206,9078,7066,5754,5,1995,2,1806,64,43.2,32,32,37,Female
3079,13831,3211,2391,14,2012,6,7541,162,38.77777778,34.4,44,30,Male
1282,14996,5446,5022,9,1987,5,8268,145,45,33.75,41,35,Male
2096,20280,6794,5162,8,1998,4,11390,241,49.125,50,42,44,Male
444,28192,9956,9650,21,1999,2,17792,109,40.11764706,29,38,28,Male
6262,21036,7082,3658,10,2001,4,7692,23,34.33333333,35.75,54,41,Male
289,4536,1935,1646,6,2012,1,2312,136,29.33333333,42,19,42,Male
1474,11310,6226,5408,8,1992,2,3610,2,38.33333333,35.5,37,44,Male
3416,18272,7700,4452,8,1999,2,7156,5,47.85714286,49.5,61,53,Male
1858,10090,6927,6062,6,2011,4,1305,86,42.66666667,37,36,29,Male
1716,8809,1314,96,20,2012,4,5779,198,52.66666667,54.25,63,66,Male
3303,19192,9278,7927,12,2011,6,6611,63,44.2,39.66666667,42,47,Male
121,2518,681,560,8,1994,1,1716,880,47.25,39,46,39,Male
2418,15332,4452,3326,18,2000,5,8462,63,48.64705882,42.5,34,32,Male
7582,21638,7736,4220,7,1995,4,6320,2,34.4,45.33333333,38,36,Male
9202,31890,5560,2198,28,1996,11,17128,26,46.17647059,48,45,37,Male
2879,13185,4870,2162,7,2012,2,5436,72,38.6,32.5,31,29,Male
1950,11490,3976,2334,11,1995,2,5564,26,41.75,23.5,41,12,Male
1530,19218,13478,12060,9,2005,2,4210,32,50.4,34,41,34,Male
648,2624,1572,1168,1,2003,3,404,64,29,23,19,29,Female
1504,8760,2996,196,4,2000,6,4260,44,30.75,28.33333333,14,14,Female
1554,8616,4209,3228,7,2011,3,2853,0,39.66666667,48,42,35,Male
8466,40928,6834,4594,23,1999,12,25628,38,44.88888889,36.88888889,37,39,Male
4692,24842,6724,4178,13,1989,4,13426,109,42.2,37,40,39,Male
1356,9470,3230,2490,14,1999,4,4884,59,42.5,31,55,35,Male
2397,14890,8864,7658,4,1993,5,3629,23,58.25,55.5,58,42,Male
1107,11613,2502,1904,7,2011,4,8004,5,43,47,52,49,Male
4886,13976,5708,3186,4,2007,4,3382,2,47.33333333,33,40,38,Female
6367,16373,7954,3797,5,2008,10,2052,173,38.8,36,40,39,Male
2404,6489,2012,1103,4,2011,4,2073,3,37,25.25,37,36,Female
4618,25492,11000,6382,5,1998,1,9874,82,50.8,27,61,27,Male
3646,19518,10642,7428,3,2000,2,5230,41,40.33333333,39,33,33,Male
2047,7890,2801,1368,6,2006,3,3042,84,39.83333333,32.33333333,30,41,Male
0,4634,1607,225,4,1997,1,3027,48,41.5,30,30,36,Female
1710,13788,4107,3102,13,2002,3,7971,197,38.90909091,43.66666667,40,72,Male
1162,11184,4822,4304,8,2008,4,5200,37,44.5,36.66666667,42,32,Male
807,4437,2438,1916,3,1990,2,1192,126,60,63,50,66,Male
1720,15066,5104,4074,11,1996,4,8242,356,44.3,40.66666667,34,59,Male
3346,19598,5624,2278,8,2000,1,10628,347,43.625,28,38,28,Male
889,3164,1486,597,5,2001,1,789,48,27.5,35,46,35,Male
3288,18472,5344,2056,9,1987,7,9840,179,53.28571429,48.33333333,41,23,Female
4068,14626,4336,694,7,1997,4,6222,17,52,63,55,63,Male
3560,13484,4594,1566,10,1998,3,5330,224,50.4,46,37,35,Male
3274,12458,5088,3960,11,2001,6,4096,11,49.33333333,46.16666667,33,38,Female
7624,27086,10782,7120,10,1999,7,8680,7,38.375,30.4,30,35,Male
4392,21738,12210,10336,8,1999,8,5136,25,24,35.83333333,50,40,Female
0,2173,1160,466,3,1995,1,1013,2,43.5,29,29,51,Female
4022,22762,5025,694,14,2011,7,13715,16,52,45,31,29,Female
2032,13018,2778,1700,10,1999,3,8208,50,40.9,35.66666667,34,28,Male
3440,18402,8010,4830,7,1999,9,6952,95,35,26,24,31,Female
1921,6841,2672,1412,8,2010,5,2248,23,47.14285714,38.4,46,36,Male
4076,14330,4436,2980,5,1995,4,5818,16,50.75,32,32,37,Male
0,1658,789,430,4,1993,1,869,157,40.33333333,39,39,41,Female
2563,7167,3526,2705,4,2009,5,1078,22,48.75,43.2,52,75,Male
381,7089,2483,527,5,2009,3,4225,44,41.75,47.5,33,42,Female
5146,15363,6350,1204,10,1939,1,3867,45,49.8,34,38,34,Male
992,7927,5267,4611,3,2011,4,1668,77,48.66666667,35.66666667,30,64,Female
1988,14720,8468,7520,7,1999,4,4264,198,35.71428571,35,39,35,Male
6649,14390,3659,481,9,2000,9,4082,40,46.44444444,37.25,63,31,Male
5007,11671,6664,3102,1,2013,2,0,95,51,33,51,32,Male
4408,31942,19892,18182,7,2009,4,7642,27,33.66666667,43.5,27,58,Male
1046,20248,5222,4176,13,2001,1,13980,281,41.4,34,40,34,Male
906,18760,3230,650,13,2004,3,14624,176,42.91666667,36,35,43,Female
1420,17148,5646,4384,14,1999,2,10082,18,39.16666667,28,32,30,Male
3228,9715,3076,745,8,2013,4,3411,0,33,41.5,33,53,Male
5940,19630,7794,3048,5,1980,4,5896,177,25.75,43.66666667,20,44,Male
6428,30354,9494,3476,14,1998,2,14432,69,41.45454545,31,37,29,Male
2126,10265,4234,2108,3,2009,1,3905,11,45.66666667,28,55,28,Male
3324,14073,5240,3760,7,2012,5,5509,61,33.4,46.4,16,27,Male
1884,15570,5189,3305,10,2011,1,8497,41,37.875,38,29,38,Male
2767,9847,4618,3140,6,2012,5,2462,19,27.33333333,32.8,20,22,Male
2321,5845,3057,1854,3,1989,2,467,126,21,20.5,30,9,Male
816,13556,7076,6712,12,1993,4,5664,162,55.875,38.5,39,63,Male
1464,13776,10332,9604,5,2002,3,1980,69,36.2,31,26,29,Male
2578,10506,2804,2082,10,2002,6,5124,48,42,42,29,28,Male
3470,9110,3558,1894,4,1993,4,2082,84,50.66666667,36,46,11,Male
1602,14648,8370,7654,10,2008,4,4676,105,39.77777778,42,30,22,Male
486,12286,3944,330,5,2000,2,7856,63,34.75,27.5,27,25,Female
3990,17666,6016,3282,11,1998,7,7660,75,33.83333333,32,23,22,Male
122,2276,1268,864,4,1991,2,886,89,27,29,28,29,Female
736,15785,7675,7251,10,1997,2,7374,33,38.2,13,42,13,Male
7110,16742,9518,9404,1,2009,9,114,55,47,32.8,26,47,Female
7123,18434,5642,2996,7,2005,10,5669,52,40.5,39.3,20,31,Female
1814,11874,3879,2749,8,2011,3,6181,31,53,31.66666667,40,32,Male
4194,23950,6752,5074,18,1993,4,13004,48,35.44444444,25.33333333,53,27,Male
1642,15580,4120,166,9,2002,4,9818,45,43,34,25,30,Female
756,14298,7768,4990,5,2008,4,5774,15,42,42,26,58,Female
8582,25982,11556,3928,6,1991,2,5844,12,46.5,34.5,60,56,Male
4582,14170,4810,2872,8,2008,7,4778,41,48.625,37.71428571,46,33,Male
8528,18744,9974,4878,2,1954,2,242,30,41.5,38.5,46,25,Male
5762,18687,4160,1362,10,2011,10,8765,41,39.2,46.5,26,53,Female
124,19058,8392,8268,7,2000,1,10542,37,44.57142857,24,28,24,Male
3750,7522,2812,755,3,2010,5,960,21,41.33333333,37.25,24,29,Male
1012,10942,2454,1442,12,1990,1,7476,57,49.08333333,71,40,71,Male
2930,13302,7126,5306,6,2008,4,3246,27,46.33333333,40,34,60,Male
931,7344,2263,1332,5,2012,1,4150,112,34.75,36,32,36,Male
6383,14014,5792,4385,3,2011,6,1839,40,28.5,25.66666667,31,29,Female
4648,18864,8572,3924,6,2008,1,5644,21,36,26,26,26,Male
3988,20454,7300,332,6,1999,9,9166,260,53,42.42857143,32,50,Female
999,9147,2891,2368,10,2013,3,5257,28,46.25,31.66666667,35,29,Male
467,7316,4570,4103,7,1998,1,2279,261,40,39,26,39,Male
1626,16402,9260,8044,5,2001,3,5516,347,45,25,29,28,Male
1721,9007,4414,3147,6,2012,3,2872,2,47,37,37,47,Female
340,8772,1776,1436,12,1993,1,6656,68,24.58333333,42,27,42,Male
1855,17065,8621,5090,6,2013,5,6589,89,45,47.25,54,57,Female
2916,16106,9764,8402,4,2004,5,3426,77,46,30,42,33,Male
6935,20247,8340,5121,8,2010,7,4972,34,27,24.28571429,22,26,Male
3910,15060,3438,1108,7,2000,6,7712,143,28.57142857,33.16666667,36,27,Female
1562,20310,8838,7276,13,1995,1,9910,200,42.9,23,58,23,Male
17658,33402,6130,3602,7,1995,8,9614,85,43.28571429,41.85714286,36,35,Female
7650,28612,10814,8732,10,2005,5,10148,34,34.85714286,28.8,34,36,Male
4496,10920,4839,1951,5,2012,5,1585,6,55,42,53,49,Male
13530,29954,11654,9494,6,2008,10,4770,185,45.66666667,46.14285714,43,54,Female
4280,14760,6746,2466,2,1989,1,3734,54,31.5,27,29,27,Male
4664,18248,5856,3038,12,1998,5,7728,185,36.66666667,44.5,28,26,Male
2012,5422,2344,332,5,1994,1,1066,5,43.75,28,30,28,Male
1937,4246,2084,817,2,2011,3,225,4,42,26.5,33,26,Male
5228,18864,7260,3668,9,2001,4,6376,17,54.625,40,42,41,Male
3288,12592,6644,3356,4,2001,1,2660,411,42.33333333,29,38,29,Male
1141,7446,2309,1689,8,2007,3,3996,405,50.85714286,35.33333333,44,35,Male
4728,27072,11020,7930,5,2004,5,11324,100,38.2,37.25,44,43,Male
5916,20260,8686,3230,10,1998,2,5658,75,43.5,36,44,40,Male
9172,25458,10520,6394,11,2002,7,5766,14,45.25,28.6,62,43,Male
0,5171,3108,2315,3,1992,1,2063,100,38.33333333,30,30,31,Female
1789,19960,6384,1364,8,1993,4,11787,13,38.25,35,49,25,Female
1686,10456,4994,3506,5,1999,2,3776,503,26,27,44,27,Male
2277,7350,2797,2143,5,1993,6,2276,266,33,33.16666667,37,31,Male
3058,12470,6494,4418,7,1999,2,2918,172,43.28571429,30,36,19,Male
4176,28970,6298,3708,14,1996,6,18496,48,40.7,27.5,41,34,Male
1068,17460,6210,5296,11,2008,2,10182,170,36,24,52,24,Male
5894,15440,4266,1545,15,2012,6,5280,169,45.16666667,35.33333333,29,22,Male
1816,20670,6083,5205,15,2010,4,12771,106,39.61538462,29.5,27,25,Male
1412,9480,1918,44,8,1998,4,6150,27,36.42857143,33,33,54,Female
5248,14376,4854,1956,8,1987,5,4274,22,35.28571429,39.5,38,31,Male
3212,13947,7621,4409,5,2011,1,3114,60,34.75,38,31,38,Male
6206,24656,7610,1822,5,1998,2,10840,68,49.4,40,61,40,Male
7372,14751,2571,102,5,1985,6,4808,92,33.25,24.4,23,23,Male
1688,10129,3181,1620,10,2005,2,5260,515,49.375,26,34,24,Male
1025,9001,2024,999,11,1980,1,5952,937,43.2,24,38,24,Male
1788,9041,2339,1621,15,1999,3,4914,813,47.15384615,25.66666667,47,18,Male
10688,27600,11634,7964,4,1998,5,5278,168,34.66666667,49.66666667,52,48,Female
3594,12714,2892,1596,11,2001,7,6228,1,28.85714286,34.33333333,34,29,Male
6314,21228,9736,5734,8,1995,5,5178,15,40,29,33,37,Male
5076,16770,4938,2014,9,2008,5,6756,14,47.71428571,43.75,34,74,Female
166,7939,2029,1863,11,2011,1,5744,139,33.5,20,14,20,Male
774,12276,4871,4097,7,2007,1,6631,153,27.14285714,19,24,19,Male
2472,10482,3228,1076,4,1984,5,4782,35,45.5,35,43,28,Female
3215,12471,5308,3201,12,2009,3,3948,44,34.66666667,33,31,36,Male
1806,7180,3390,2312,5,2004,4,1984,12,40,42.33333333,36,37,Male
8732,17940,5686,1472,6,1997,6,3522,8,41.6,35.5,66,18,Male
1840,18118,7994,7382,5,1996,6,8284,8,28,26.33333333,30,26,Male
1004,5713,2765,2058,3,2001,3,1944,107,38,25,47,35,Male
1189,17147,1934,1486,26,2005,3,14024,68,46.88235294,33,44,33,Male
4046,11812,5744,2696,7,2011,6,2022,1,44.33333333,43,37,34,Male
4432,21436,8446,5560,7,1999,4,8558,139,36.85714286,33.25,29,27,Male
9568,16854,3228,324,4,2010,10,4058,0,50,35.375,57,44,Male
2415,12248,3974,1971,8,2012,4,5859,239,49.57142857,30,41,29,Male
456,9000,3710,738,8,1984,2,4834,99,39.5,27,28,28,Female
1661,3963,1424,652,4,2009,4,878,145,29.33333333,35,33,34,Male
4943,13820,4763,3067,5,1991,4,4114,93,38.2,39,35,52,Female
6930,23008,5170,482,9,1998,7,10908,326,44.66666667,38,34,26,Male
9260,19556,5968,145,8,2012,9,4328,73,46.25,30.57142857,43,40,Male
5413,20597,4048,1056,11,2011,4,11136,198,44.66666667,34.75,28,30,Male
271,8220,2511,2367,8,1999,2,5438,103,31.75,22,38,24,Male
1196,7482,1482,702,8,1993,3,4804,113,35.57142857,28.5,23,34,Male
1466,6359,1146,419,9,2004,3,3747,9,36.5,24.33333333,49,24,Male
565,8789,2756,2191,13,2011,1,5468,26,47.84615385,47,53,47,Male
5472,17472,5306,2722,8,1990,6,6694,2,62.33333333,47.66666667,44,49,Male
520,6644,2242,1894,15,1993,2,3882,118,46.42857143,35,42,37,Male
104,3710,1961,1857,7,2001,1,1645,117,42.14285714,22,31,22,Male
1138,10874,4762,4190,7,1996,4,4974,32,27.66666667,25.5,25,20,Male
2874,14606,5344,3404,8,1990,4,6388,34,49,40.5,48,30,Male
672,9476,2802,156,6,2006,2,6002,19,37.6,30,26,39,Female
4116,26304,5232,3666,17,2004,4,16956,186,44.3125,37,36,28,Male
5678,15732,5696,2378,6,1994,4,4358,303,47.2,25.66666667,47,36,Male
226,23842,11662,11436,15,1993,1,11954,25,36.46666667,50,24,50,Male
1806,14178,4934,1254,10,2008,6,7438,231,29.11111111,24.66666667,18,22,Female
864,7648,2898,2458,8,1988,2,3886,237,44.16666667,29,44,32,Male
2682,14546,9028,6346,9,2005,1,2836,31,45.625,51,36,51,Male
8526,32538,10878,3848,8,1997,4,13134,12,44.625,32.5,37,28,Male
786,8754,5734,5349,8,2009,3,2234,103,41.85714286,37,40,32,Male
434,12146,4266,824,7,1983,2,7446,15,41,34,38,42,Female
3411,10606,5877,3333,4,2009,4,1318,97,36.5,30.33333333,48,24,Male
3110,8026,1377,13,9,2010,8,3539,121,37.22222222,41.85714286,32,38,Male
200,15316,5208,5008,18,2008,1,9908,100,49.16666667,32,46,32,Male
1376,20814,9462,8436,8,1982,2,9976,159,57.5,33,57,36,Male
1317,2987,1372,1074,1,1958,3,298,29,70,32,25,70,Female
5084,16266,5064,2302,7,2007,4,6118,11,45,51.66666667,60,47,Male
4728,22758,7838,4518,17,1997,8,10192,81,52.85714286,36.75,54,28,Male
3290,19578,8746,6536,13,1987,5,7542,97,48.58333333,27.5,43,27,Male
677,8562,1902,1366,11,2011,2,5983,15,46.625,32,44,32,Male
696,12572,3244,2548,10,2010,1,8632,2,39,16,32,16,Male
1881,8619,3705,2974,10,2010,8,3033,1,44,47.5,40,49,Female
3958,30788,9884,1834,12,1990,5,16946,30,49.2,37.6,23,26,Female
1510,17823,6372,5654,9,2007,3,9941,212,50.11111111,40,54,39,Male
8200,18396,3916,1550,8,1998,7,6280,55,42.33333333,33.5,34,29,Male
1448,10470,5442,4176,3,1999,2,3580,195,51.66666667,33,52,33,Male
3454,11806,4166,2784,7,1988,5,4186,121,36.28571429,53.33333333,18,79,Male
1431,16839,11718,10437,12,2013,2,3690,125,42,25.5,39,23,Male
3404,21864,10402,8284,6,2000,2,8058,31,43.83333333,32.5,56,43,Male
3918,10944,3788,830,6,1999,2,3238,217,51.33333333,30.5,46,33,Male
3392,10346,5220,2956,8,2008,2,1734,31,44.2,32.5,56,44,Male
246,4421,1432,1299,5,2000,2,2743,253,51,26,61,34,Male
6128,24012,9612,6554,10,2008,11,8272,118,36.6,27.66666667,46,28,Male
8564,21806,8422,276,5,2000,3,4820,14,34,27,33,36,Male
3664,26362,9450,1178,7,1998,5,13248,215,46.57142857,41.8,37,42,Female
10582,33636,14794,8124,11,2009,6,8260,17,38.11111111,38.2,21,21,Male
1277,12750,3787,1131,17,2012,3,7686,104,45.25,35.66666667,35,43,Female
2209,4950,2237,1175,3,2011,4,504,38,53,41.25,29,26,Male
2023,5313,1666,648,5,2001,3,1624,64,39.25,31,31,36,Male
487,7960,3741,3375,11,1992,2,3732,15,45.09090909,40,44,43,Male
404,2273,1170,815,3,2000,4,699,59,38.66666667,42.5,36,31,Female
2414,8670,3282,2129,7,2009,5,2974,18,27.25,34.4,26,19,Male
1659,8751,4760,3947,7,1990,3,2332,44,35.71428571,23.33333333,33,20,Male
713,3358,762,101,5,2010,4,1883,368,44.4,51.25,44,47,Female
0,3598,712,34,7,1997,1,2886,90,44.85714286,48,48,51,Female
1287,9063,3703,2416,6,1997,1,4073,50,36.33333333,28,27,28,Male
1911,8560,1451,90,11,2010,3,5198,1,35.83333333,63,43,63,Male
2183,4923,1202,287,5,2007,6,1538,64,28.8,39.83333333,28,22,Male
1082,7825,3444,2932,5,1990,3,3299,180,43,31,29,37,Male
1923,7629,1525,597,11,2010,4,4181,8,54,36,31,35,Female
816,4071,2547,1953,2,1988,4,708,120,45,32,40,43,Female
1819,8199,4718,3445,8,2007,4,1662,160,55.5,49.75,53,38,Male
4198,9770,1806,622,6,1988,6,3766,155,51.5,37.2,32,42,Female
1301,6701,1812,511,9,2002,1,3588,0,35.66666667,34,24,34,Male
1433,4832,1272,358,8,2007,3,2127,103,54.71428571,33.66666667,70,32,Male
299,5820,3858,3698,6,1986,2,1663,41,37,38,32,45,Male
1339,6043,1590,878,9,2004,2,3114,73,42.875,30.5,28,25,Male
2694,7470,3907,1612,6,2010,4,869,10,45.66666667,18,30,30,Male
0,9231,2397,1315,18,2009,1,6834,11,52.77777778,37,37,39,Female
345,5009,2107,311,5,2007,3,2557,46,37.5,43.5,45,38,Female
833,8747,3406,814,3,2009,3,4508,5,27,35,27,29,Female
3002,6567,2062,600,6,2009,5,1503,33,40,24,29,28,Male
965,6197,4835,4202,3,2007,3,397,118,51.66666667,44.66666667,70,61,Male
258,4019,2917,2456,4,2006,3,844,10,37.33333333,37,37,38,Female
